"ID","Rating"
1,4
2,3
3,4
4,1
5,5
6,3
7,5
8,2
9,2
10,3
11,1
12,4
13,5
14,5
15,5
16,5
17,4
18,3
19,5
20,2
21,5
22,3
23,4
24,4
25,5
26,5
27,2
28,4
29,4
30,4
31,5
32,5
33,4
34,5
35,3
36,4
37,3
38,2
39,3
40,4
41,5
42,4
43,4
44,2
45,4
46,3
47,3
48,1
49,3
50,4
51,4
52,3
53,3
54,4
55,5
56,3
57,2
58,5
59,5
60,5
61,5
62,5
63,3
64,2
65,4
66,5
67,4
68,2
69,2
70,4
71,3
72,4
73,3
74,4
75,3
76,3
77,4
78,4
79,4
80,5
81,3
82,5
83,5
84,2
85,3
86,3
87,5
88,3
89,4
90,5
91,4
92,2
93,4
94,3
95,4
96,5
97,5
98,3
99,1
100,3
101,3
102,2
103,4
104,4
105,4
106,4
107,5
108,3
109,1
110,5
111,2
112,3
113,3
114,1
115,4
116,4
117,5
118,3
119,5
120,4
121,4
122,4
123,4
124,3
125,3
126,4
127,2
128,4
129,3
130,3
131,4
132,4
133,1
134,3
135,5
136,3
137,3
138,2
139,4
140,1
141,4
142,3
143,5
144,4
145,5
146,3
147,1
148,4
149,3
150,4
151,4
152,2
153,3
154,4
155,3
156,4
157,5
158,5
159,5
160,4
161,4
162,5
163,4
164,4
165,4
166,2
167,3
168,4
169,2
170,3
171,4
172,3
173,4
174,3
175,4
176,5
177,3
178,4
179,5
180,4
181,5
182,4
183,3
184,3
185,3
186,4
187,4
188,2
189,3
190,3
191,5
192,4
193,2
194,3
195,4
196,2
197,4
198,5
199,4
200,4
201,4
202,2
203,4
204,2
205,5
206,4
207,4
208,4
209,3
210,4
211,3
212,4
213,5
214,3
215,3
216,3
217,4
218,4
219,3
220,4
221,4
222,2
223,3
224,4
225,5
226,2
227,3
228,4
229,4
230,1
231,4
232,4
233,3
234,3
235,3
236,3
237,3
238,5
239,2
240,5
241,4
242,2
243,4
244,3
245,3
246,3
247,3
248,4
249,4
250,4
251,4
252,4
253,4
254,3
255,4
256,5
257,2
258,5
259,4
260,3
261,4
262,3
263,4
264,4
265,4
266,3
267,4
268,4
269,5
270,4
271,4
272,3
273,3
274,4
275,3
276,5
277,4
278,4
279,3
280,3
281,3
282,4
283,4
284,4
285,4
286,5
287,1
288,5
289,3
290,4
291,4
292,5
293,4
294,5
295,4
296,2
297,5
298,5
299,5
300,5
301,3
302,3
303,4
304,5
305,3
306,5
307,4
308,2
309,4
310,5
311,4
312,4
313,5
314,4
315,5
316,5
317,4
318,3
319,3
320,5
321,4
322,5
323,3
324,2
325,2
326,4
327,4
328,4
329,4
330,2
331,4
332,4
333,4
334,2
335,3
336,4
337,3
338,2
339,1
340,4
341,4
342,5
343,4
344,4
345,4
346,4
347,3
348,3
349,1
350,3
351,3
352,4
353,4
354,3
355,4
356,5
357,4
358,4
359,5
360,3
361,4
362,3
363,1
364,2
365,3
366,3
367,1
368,5
369,4
370,4
371,3
372,4
373,1
374,4
375,4
376,5
377,4
378,4
379,4
380,4
381,5
382,2
383,4
384,4
385,3
386,2
387,1
388,5
389,4
390,2
391,5
392,4
393,5
394,4
395,3
396,4
397,3
398,4
399,5
400,4
401,5
402,4
403,4
404,3
405,4
406,3
407,3
408,2
409,4
410,4
411,5
412,2
413,3
414,3
415,2
416,3
417,2
418,4
419,2
420,4
421,4
422,2
423,1
424,5
425,5
426,4
427,3
428,4
429,5
430,5
431,3
432,4
433,2
434,5
435,5
436,4
437,3
438,3
439,4
440,4
441,5
442,4
443,4
444,5
445,4
446,3
447,4
448,3
449,1
450,4
451,2
452,4
453,3
454,5
455,5
456,3
457,5
458,4
459,2
460,3
461,5
462,4
463,4
464,3
465,3
466,5
467,2
468,4
469,2
470,4
471,5
472,2
473,5
474,3
475,4
476,4
477,4
478,3
479,2
480,4
481,3
482,3
483,2
484,4
485,3
486,2
487,3
488,5
489,2
490,2
491,3
492,4
493,2
494,1
495,5
496,4
497,4
498,5
499,4
500,4
501,4
502,1
503,3
504,5
505,3
506,3
507,5
508,1
509,2
510,3
511,4
512,5
513,5
514,3
515,4
516,2
517,5
518,2
519,5
520,2
521,1
522,4
523,4
524,3
525,1
526,1
527,4
528,4
529,2
530,1
531,5
532,3
533,4
534,5
535,1
536,4
537,4
538,5
539,4
540,4
541,2
542,4
543,3
544,2
545,5
546,5
547,4
548,4
549,2
550,3
551,1
552,4
553,4
554,5
555,3
556,4
557,5
558,3
559,3
560,3
561,4
562,3
563,5
564,5
565,3
566,5
567,4
568,3
569,5
570,4
571,5
572,4
573,4
574,5
575,4
576,4
577,1
578,3
579,4
580,4
581,4
582,4
583,4
584,5
585,2
586,3
587,4
588,4
589,1
590,3
591,4
592,4
593,4
594,1
595,5
596,5
597,3
598,4
599,5
600,4
601,5
602,3
603,4
604,2
605,4
606,3
607,4
608,3
609,3
610,5
611,5
612,4
613,4
614,4
615,4
616,2
617,4
618,5
619,1
620,5
621,4
622,4
623,2
624,3
625,4
626,3
627,4
628,2
629,3
630,3
631,5
632,4
633,5
634,2
635,5
636,5
637,3
638,4
639,4
640,3
641,5
642,3
643,4
644,3
645,2
646,3
647,3
648,4
649,5
650,4
651,3
652,4
653,3
654,3
655,4
656,4
657,2
658,5
659,3
660,5
661,4
662,1
663,3
664,4
665,2
666,5
667,5
668,4
669,4
670,3
671,3
672,4
673,3
674,5
675,5
676,3
677,3
678,3
679,4
680,4
681,5
682,2
683,3
684,3
685,5
686,5
687,4
688,4
689,2
690,4
691,4
692,5
693,4
694,4
695,5
696,3
697,5
698,5
699,3
700,3
701,5
702,5
703,5
704,5
705,2
706,3
707,3
708,4
709,3
710,4
711,3
712,5
713,5
714,3
715,4
716,2
717,3
718,4
719,5
720,5
721,4
722,4
723,3
724,4
725,2
726,3
727,5
728,3
729,3
730,5
731,4
732,5
733,4
734,4
735,5
736,4
737,1
738,3
739,2
740,5
741,2
742,3
743,3
744,3
745,3
746,4
747,2
748,5
749,5
750,3
751,4
752,5
753,5
754,3
755,4
756,4
757,3
758,3
759,5
760,1
761,3
762,3
763,3
764,3
765,2
766,1
767,3
768,4
769,4
770,2
771,1
772,2
773,5
774,4
775,2
776,3
777,2
778,3
779,3
780,5
781,1
782,4
783,5
784,3
785,4
786,5
787,5
788,4
789,4
790,4
791,3
792,4
793,5
794,5
795,4
796,5
797,4
798,3
799,3
800,4
801,4
802,3
803,1
804,5
805,1
806,2
807,2
808,2
809,4
810,4
811,4
812,4
813,3
814,4
815,2
816,4
817,4
818,3
819,4
820,4
821,4
822,5
823,3
824,3
825,2
826,4
827,4
828,4
829,5
830,4
831,4
832,4
833,4
834,5
835,4
836,4
837,3
838,5
839,3
840,2
841,2
842,3
843,3
844,4
845,4
846,4
847,4
848,4
849,2
850,4
851,4
852,5
853,5
854,5
855,2
856,3
857,5
858,4
859,3
860,5
861,4
862,3
863,3
864,4
865,4
866,5
867,3
868,3
869,5
870,5
871,4
872,3
873,5
874,4
875,3
876,4
877,5
878,5
879,2
880,3
881,5
882,5
883,4
884,3
885,1
886,5
887,5
888,4
889,2
890,3
891,4
892,2
